RAW,SKF,TIMETAKEN,,RAW,SKF
609.03,610.66,1,,,
609.03,610.63,1,,,
609.33,610.6,1,,,
609.33,610.58,1,,,
609.33,610.55,1,,,
612.6,610.59,1,,,
612.6,610.63,1,,,
609.33,610.61,1,,,
609.33,610.58,1,,,
614.71,610.66,1,,,
614.71,610.74,1,,,
614.71,610.82,1,,,
608.9,610.78,1,,,
608.9,610.74,1,,,
609.49,610.72,1,,,
609.49,610.69,1,,,
609.49,610.67,1,,,
614.61,610.74,1,,,
614.61,610.82,1,,,
608.96,610.78,1,,,
608.96,610.75,1,,,
608.96,610.71,1,,,
609.65,610.69,1,,,
609.65,610.67,1,,,
615.94,610.77,1,,,
615.94,610.88,1,,,
615.94,610.98,1,,,
609.22,610.95,1,,,
609.22,610.91,1,,,
615.4,611,1,,,
615.4,611.1,1,,,
609.72,611.07,1,,,
609.72,611.04,1,,,
609.72,611.01,1,,,
616.71,611.13,1,,,
616.71,611.26,1,,,
609.01,611.21,1,,,
609.01,611.16,1,,,
609.01,611.11,1,,,
609.03,611.06,1,,,
609.03,611.01,1,,,
610.71,611.01,1,,,
610.71,611,1,,,
610.71,610.99,1,,,
609.36,610.96,1,,,
609.36,610.92,1,,,
609.18,610.89,1,,,
609.18,610.85,1,,,
609.18,610.81,1,,,
614.84,610.9,1,,,
614.84,610.98,1,,,
609.27,610.95,1,,,
609.27,610.91,1,,,
609.7,610.88,2,,,
609.7,610.86,1,,,
609.7,610.83,1,,,
613.02,610.88,1,,,
613.02,610.93,1,,,
615.79,611.03,1,,,
615.79,611.13,2,,,
616.13,611.24,1,,,
616.13,611.35,1,,,
616.13,611.46,1,,,
610.03,611.43,1,,,
610.03,611.39,2,,,
609.76,611.36,1,,,
609.76,611.32,1,,,
609.76,611.28,1,,,
608.99,611.23,1,,,
608.99,611.18,2,,,
609.25,611.14,1,,,
609.25,611.09,1,,,
609.25,611.05,1,,,
614.65,611.13,1,,,
614.65,611.21,1,,,
609.62,611.18,1,,,
609.62,611.14,2,,,
609.31,611.1,1,,,
609.31,611.06,1,,,
609.31,611.02,1,,,
615.52,611.12,1,,,
615.52,611.22,1,,,
608.99,611.17,1,,,
608.99,611.12,1,,,
608.99,611.07,1,,,
608.77,611.02,1,,,
608.77,610.96,1,,,
611.79,610.98,1,,,
611.79,611,2,,,
611.79,611.02,1,,,
609.77,610.99,1,,,
609.77,610.96,1,,,
612.31,610.99,1,,,
612.31,611.02,1,,,
609.45,610.99,1,,,
609.45,610.96,1,,,
609.45,610.92,1,,,
