RAW,SKF
610.17,610.43
613.91,610.50
613.91,610.57
607.48,610.51
607.48,610.44
607.48,610.38
608.44,610.34
608.44,610.30
611.93,610.33
611.93,610.37
611.93,610.40
607.62,610.34
607.62,610.28
609.69,610.27
609.69,610.26
608.93,610.23
608.93,610.21
608.93,610.18
607.66,610.13
607.66,610.08
613.11,610.14
613.11,610.20
613.11,610.26
607.20,610.20
607.20,610.13
613.42,610.20
613.42,610.27
613.42,610.34
607.75,610.28
607.75,610.23
607.66,610.17
607.66,610.12
607.66,610.06
610.44,610.07
610.44,610.08
607.39,610.02
607.39,609.97
609.75,609.96
609.75,609.96
609.75,609.95
609.13,609.94
609.13,609.92
607.57,609.87
607.57,609.83
607.57,609.78
610.25,609.79
610.25,609.80
609.22,609.79
609.22,609.78
614.21,609.86
614.21,609.95
614.21,610.03
614.37,610.12
614.37,610.21
607.57,610.15
607.57,610.10
610.34,610.10
610.34,610.11
610.34,610.11
607.64,610.06
607.64,610.01
607.71,609.97
607.71,609.92
610.49,609.93
610.49,609.94
610.49,609.95
607.77,609.91
607.77,609.87
609.53,609.86
609.53,609.86
609.53,609.85
610.99,609.87
610.99,609.89
609.07,609.88
609.07,609.86
609.18,609.85
607.67,609.81
607.67,609.77
607.73,609.74
607.73,609.70
608.87,609.68
608.87,609.67
608.87,609.66
609.95,609.66
609.95,609.67
609.02,609.65
609.02,609.64
609.02,609.63
607.57,609.60
607.57,609.57
607.92,609.54
607.92,609.51
607.92,609.49
608.81,609.47
608.81,609.46
614.06,609.54
614.06,609.61
607.90,609.58
607.90,609.56
607.90,609.53
613.26,609.59
613.26,609.66
607.78,609.62
607.78,609.59
607.78,609.56
608.38,609.54
608.38,609.52
615.44,609.62
615.44,609.73
615.44,609.83
607.79,609.79
607.79,609.75
609.18,609.74
609.18,609.73
609.19,609.72
609.19,609.71
609.19,609.70
607.55,609.66
607.55,609.62
612.41,609.68
612.41,609.73
612.41,609.78
609.05,609.76
609.05,609.75
616.12,609.87
616.12,609.99
610.60,610.00
610.60,610.01
610.60,610.02
609.84,610.02
609.84,610.02
611.30,610.04
611.30,610.06
611.30,610.09
609.87,610.08
609.87,610.08
609.22,610.06
609.22,610.05
611.61,610.08
611.61,610.10
611.61,610.13
609.41,610.12
609.41,610.10
609.75,610.10
609.75,610.09
609.75,610.09
608.44,610.06
608.44,610.03
613.18,610.08
613.18,610.14
613.18,610.19
617.27,610.31
