PACKET,RAW,SKF
318,607.81,613.13
319,607.81,612.93
320,614.60,612.99
321,614.60,613.05
322,614.60,613.11
323,610.63,613.02
324,610.63,612.94
325,617.57,613.10
326,617.57,613.25
327,608.68,613.09
328,608.68,612.93
329,608.68,612.78
330,608.98,612.64
331,608.98,612.51
332,613.60,612.55
333,613.60,612.59
334,613.60,612.62
335,607.76,612.46
336,607.76,612.30
337,609.37,612.20
338,609.37,612.10
339,609.37,612.01
340,611.97,612.01
341,611.97,612.01
342,610.21,611.95
343,610.21,611.90
344,610.84,611.86
345,610.84,611.83
346,610.84,611.80
347,608.89,611.72
348,608.89,611.64
349,612.19,611.65
350,612.19,611.67
351,612.19,611.68
352,608.61,611.60
353,608.61,611.52
354,607.74,611.42
355,607.74,611.32
356,607.74,611.22
357,608.93,611.15
358,608.93,611.09
359,611.94,611.12
360,611.94,611.14
361,611.94,611.16
362,607.87,611.07
363,607.87,610.99
364,614.27,611.08
365,614.27,611.16
366,610.34,611.14
367,610.34,611.12
368,610.34,611.10
369,609.70,611.06
370,609.70,611.03
371,610.71,611.02
372,610.71,611.01
373,610.71,611.01
374,609.60,610.97
375,609.60,610.94
376,610.24,610.93
377,610.24,610.91
378,610.24,610.90
379,608.70,610.85
380,608.70,610.80
381,609.56,610.78
382,609.56,610.75
383,610.98,610.76
384,610.98,610.76
385,610.98,610.76
386,607.47,610.70
387,607.47,610.63
388,608.45,610.59
389,608.45,610.54
390,608.45,610.50
391,607.40,610.44
392,607.40,610.37
393,608.42,610.33
394,608.42,610.29
395,614.01,610.37
396,614.01,610.45
397,610.17,610.44
398,610.17,610.44
399,610.17,610.43
400,613.91,610.50
401,613.91,610.57
402,607.48,610.51
403,607.48,610.44
404,607.48,610.38
405,608.44,610.34
406,608.44,610.30
407,611.93,610.33
408,611.93,610.37
409,611.93,610.40
410,607.62,610.34
411,607.62,610.28
412,609.69,610.27
413,609.69,610.26
414,608.93,610.23
415,608.93,610.21
416,608.93,610.18
417,607.66,610.13
418,607.66,610.08
419,613.11,610.14
420,613.11,610.20
421,613.11,610.26
