RAW,SKF,TIMETAKEN
609.92,609.58,1
608.57,609.56,1
608.57,609.55,1
608.57,609.53,1
608.65,609.52,1
608.65,609.5,1
608.73,609.49,1
608.73,609.48,1
608.73,609.46,1
608.68,609.45,1
608.68,609.44,1
608.7,609.43,1
608.7,609.42,1
608.7,609.41,1
608.54,609.39,1
608.54,609.38,1
608.79,609.37,1
608.79,609.36,1
608.68,609.35,1
608.68,609.34,1
608.68,609.33,1
608.96,609.33,1
608.96,609.32,1
614.72,609.4,1
614.72,609.48,1
614.72,609.56,1
608.93,609.55,1
608.93,609.54,1
608.75,609.52,1
608.75,609.51,1
608.75,609.5,1
608.62,609.49,1
608.62,609.47,1
608.76,609.46,1
608.76,609.45,1
608.76,609.44,1
608.83,609.44,1
608.83,609.43,1
608.91,609.42,1
608.91,609.41,1
608.84,609.4,1
608.84,609.4,1
608.84,609.39,1
608.89,609.38,1
608.89,609.37,1
608.86,609.37,1
608.86,609.36,1
608.86,609.35,1
618.5,609.47,1
618.5,609.6,1
608.77,609.59,1
608.77,609.58,1
608.77,609.56,1
608.81,609.55,1
608.81,609.54,1
608.89,609.53,1
608.89,609.52,1
608.89,609.51,1
608.96,609.51,2
608.96,609.5,1
608.94,609.49,1
608.94,609.48,1
608.93,609.48,1
608.93,609.47,1
608.93,609.46,1
608.9,609.45,1
608.9,609.45,1
608.82,609.44,1
608.82,609.43,1
608.82,609.42,1
609.01,609.42,1
609.01,609.41,1
613.05,609.46,1
613.05,609.5,1
613.05,609.55,1
608.85,609.54,1
608.85,609.53,1
608.92,609.52,1
608.92,609.52,1
609.12,609.51,1
609.12,609.51,1
609.12,609.5,1
608.99,609.49,1
608.99,609.49,1
609.01,609.48,1
609.01,609.48,1
609.01,609.47,1
608.86,609.46,1
608.86,609.45,1
609.05,609.45,1
609.05,609.44,1
609.05,609.44,1
608.83,609.43,1
608.83,609.43,1
608.91,609.42,1
608.91,609.41,1
608.91,609.41,1
608.67,609.4,1
608.67,609.39,1
609.49,609.39,1
609.49,609.39,1
608.84,609.39,1
608.84,609.38,1
608.84,609.37,1
609.04,609.37,1
609.04,609.37,1
608.8,609.36,1
608.8,609.36,1
608.8,609.35,1
608.88,609.34,1
608.88,609.34,1
608.74,609.33,1
608.74,609.33,1
608.74,609.32,1
608.73,609.31,1
608.73,609.31,1
608.77,609.3,1
608.77,609.3,1
608.77,609.29,1
608.87,609.29,1
608.87,609.28,1
608.85,609.28,1
608.85,609.27,1
614.26,609.32,1
614.26,609.38,1
614.26,609.43,1
608.91,609.42,1
608.91,609.42,1
608.73,609.41,1
608.73,609.4,1
608.73,609.39,1
608.79,609.39,1
608.79,609.38,1
608.66,609.37,1
608.66,609.37,1
608.66,609.36,1
608.9,609.35,1
608.9,609.35,1
608.92,609.34,1
608.92,609.34,1
608.89,609.33,1
608.89,609.33,1
608.89,609.33,1
608.98,609.32,1
608.98,609.32,1
608.91,609.31,1
608.91,609.31,1
608.91,609.31,1
626.6,609.48,1
626.6,609.67,1
609.15,609.67,1
609.15,609.66,1
609.15,609.65,1
608.99,609.64,1
608.99,609.64,1
608.91,609.63,1
608.91,609.62,1
608.91,609.61,1
609.03,609.6,1
609.03,609.59,1
608.94,609.59,1
608.94,609.58,1
608.98,609.57,1
608.98,609.56,1
608.98,609.56,1
608.95,609.55,1
608.95,609.54,1
609.14,609.54,1
609.14,609.53,1
609.14,609.53,1
608.82,609.52,1
608.82,609.51,1
618.91,609.62,1
618.91,609.74,1
618.91,609.86,1
608.82,609.84,1
608.82,609.83,1
608.9,609.81,1
608.9,609.8,1
608.9,609.79,1
608.71,609.77,1
608.71,609.76,1
608.87,609.75,1
608.87,609.73,1
608.96,609.72,1
608.96,609.71,1
608.96,609.7,1
608.9,609.69,1
608.9,609.68,1
608.8,609.67,1
608.8,609.66,1
608.8,609.65,1
608.83,609.64,1
608.83,609.62,1
608.89,609.62,1
608.89,609.61,1
608.89,609.6,1
608.38,609.58,1
608.38,609.57,1
608.89,609.56,1
608.89,609.55,1
608.59,609.54,1
608.59,609.52,1
608.59,609.51,1
608.99,609.51,1
608.99,609.5,1
608.86,609.49,1
608.86,609.48,1
608.86,609.48,1
608.72,609.47,1
608.72,609.46,1
608.89,609.45,1
608.89,609.44,1
608.89,609.44,1
608.82,609.43,1
608.82,609.42,1
608.99,609.42,1
608.99,609.41,1
608.99,609.41,1
609.12,609.41,1
609.12,609.4,1
608.98,609.4,1
608.98,609.39,1
623.85,609.55,1
623.85,609.73,1
623.85,609.93,1
609.11,609.92,1
609.11,609.91,1
609.11,609.89,2
609.11,609.88,1
609.11,609.87,1
609.13,609.86,1
609.13,609.85,1
608.82,609.83,1
608.82,609.82,1
608.82,609.8,1
608.9,609.79,1
608.9,609.77,1
608.8,609.76,1
608.8,609.75,1
608.87,609.73,1
608.87,609.72,1
608.87,609.71,1
608.67,609.69,1
608.67,609.68,1
609.14,609.67,1
609.14,609.66,1
609.14,609.66,1
622.02,609.83,1
622.02,610.01,1
608.84,609.99,1
608.84,609.97,1
608.84,609.96,1
608.74,609.94,1
608.74,609.92,1
609.19,609.9,1
609.19,609.89,1
609.19,609.88,1
608.79,609.86,1
608.79,609.85,1
608.94,609.83,1
608.94,609.82,1
608.89,609.8,1
608.89,609.79,1
608.89,609.78,1
608.97,609.76,1
608.97,609.75,1
608.96,609.74,1
608.96,609.73,1
608.96,609.72,1
608.94,609.71,1
608.94,609.69,1
621.12,609.86,1
621.12,610.04,1
621.12,610.23,1
608.97,610.21,1
608.97,610.18,1
608.77,610.16,1
608.77,610.13,1
608.77,610.11,1
609.25,610.09,1
609.25,610.08,1
608.83,610.05,1
608.83,610.03,1
608.74,610.01,1
608.74,609.99,1
608.74,609.96,1
608.63,609.94,1
608.63,609.92,1
608.69,609.9,1
608.69,609.88,1
608.69,609.85,1
608.71,609.84,1
608.71,609.82,1
608.68,609.8,1
608.68,609.78,1
608.68,609.76,1
608.6,609.74,1
608.6,609.72,1
616.21,609.83,1
616.21,609.94,1
609.14,609.92,1
609.14,609.91,1
609.14,609.9,1
608.81,609.88,1
608.81,609.86,1
608.57,609.84,1
608.57,609.81,1
608.57,609.79,1
608.49,609.77,1
608.49,609.75,1
608.52,609.73,1
608.52,609.71,1
608.52,609.69,1
608.77,609.67,1
608.77,609.66,1
608.83,609.64,1
608.83,609.63,1
608.83,609.62,1
608.65,609.6,1
608.65,609.59,1
608.69,609.57,1
608.69,609.56,1
626.31,609.82,1
626.31,610.11,1
626.31,610.45,1
609.17,610.42,1
609.17,610.39,1
608.68,610.35,1
608.68,610.31,1
608.68,610.27,1
608.65,610.24,1
608.65,610.2,1
608.54,610.17,1
608.54,610.13,1
608.54,610.1,1
608.65,610.06,1
608.65,610.03,1
608.94,610.01,1
608.94,609.99,1
608.94,609.97,1
608.89,609.94,1
608.89,609.92,1
608.47,609.89,1
608.47,609.86,1
608.56,609.84,1
608.56,609.81,1
608.56,609.79,1
619.38,609.98,1
619.38,610.17,1
608.56,610.14,1
608.56,610.1,1
608.56,610.07,1
608.83,610.04,1
608.83,610.01,1
608.76,609.99,1
608.76,609.96,1
608.76,609.94,1
608.52,609.91,1
608.52,609.88,1
608.55,609.85,1
608.55,609.82,1
608.85,609.8,1
608.85,609.78,1
608.85,609.77,1
608.82,609.75,1
608.82,609.73,1
608.59,609.71,1
608.59,609.69,1
608.59,609.66,1
608.65,609.65,1
608.65,609.63,1
622.45,609.86,1
622.45,610.12,1
622.45,610.4,1
608.83,610.36,1
608.83,610.32,1
608.96,610.29,1
608.96,610.26,1
608.96,610.23,1
608.75,610.19,1
608.75,610.16,1
608.69,610.13,1
608.69,610.09,1
608.89,610.07,1
608.89,610.04,1
608.89,610.01,1
608.92,609.99,1
608.92,609.97,1
608.85,609.94,1
608.85,609.92,1
608.85,609.9,1
608.88,609.88,1
608.88,609.86,1
608.69,609.83,1
608.69,609.81,1
608.69,609.79,1
608.5,609.76,1
608.5,609.74,1
608.86,609.72,1
608.86,609.7,1
608.86,609.69,1
609.34,609.68,1
609.34,609.67,1
609.1,609.66,1
609.1,609.65,1
608.78,609.64,1
608.78,609.62,1
608.78,609.61,1
608.84,609.59,1
608.84,609.58,1
608.93,609.57,1
608.93,609.56,1
608.93,609.55,1
608.74,609.53,1
608.74,609.52,1
608.65,609.51,1
608.65,609.49,1
608.65,609.48,1
608.77,609.47,1
608.77,609.46,1
608.94,609.45,1
608.94,609.44,1
608.94,609.43,1
628.34,609.72,1
628.34,610.05,1
608.76,610.02,1
608.76,610,1
608.64,609.97,1
608.64,609.94,1
608.64,609.92,1
608.64,609.89,1
608.64,609.87,1
608.76,609.85,1
608.76,609.82,1
608.76,609.8,1
608.84,609.79,1
608.84,609.77,1
608.76,609.75,1
608.76,609.73,1
608.76,609.71,1
608.76,609.7,1
608.76,609.68,1
608.71,609.66,1
608.71,609.64,1
608.94,609.63,1
608.94,609.62,1
608.94,609.61,1
627.24,609.91,1
627.24,610.25,1
609.07,610.22,1
609.07,610.2,1
609.07,610.17,1
608.81,610.14,1
608.81,610.11,1
608.86,610.09,1
608.86,610.06,1
608.86,610.04,1
608.91,610.01,1
608.91,609.99,1
608.64,609.96,1
608.64,609.94,1
608.64,609.91,1
608.86,609.89,1
608.86,609.87,1
609.08,609.85,1
609.08,609.84,1
608.78,609.82,1
608.78,609.8,1
608.78,609.78,1
608.93,609.76,1
608.93,609.75,1
619.02,609.92,1
619.02,610.1,1
619.02,610.28,1
609.05,610.26,1
609.05,610.23,1
608.91,610.2,1
608.91,610.17,1
608.91,610.15,1
608.74,610.12,1
608.74,610.09,1
608.79,610.06,1
608.79,610.03,1
608.79,610.01,1
608.93,609.98,1
608.93,609.96,1
608.94,609.94,1
608.94,609.92,1
608.88,609.9,1
608.88,609.88,1
608.88,609.86,1
608.98,609.85,1
608.98,609.83,1
608.62,609.81,1
608.62,609.79,1
608.62,609.76,1
608.28,609.74,1
608.28,609.71,1
615.77,609.82,1
615.77,609.93,1
615.77,610.05,1
609.01,610.03,1
609.01,610.01,1
609.06,609.99,1
609.06,609.97,1
608.94,609.95,1
609.01,609.93,1
609.01,609.91,1
608.8,609.89,1
608.8,609.87,1
608.86,609.85,1
608.86,609.83,1
608.86,609.82,1
608.47,609.79,1
608.47,609.77,1
608.51,609.74,1
608.51,609.72,1
608.51,609.7,1
608.66,609.68,1
608.66,609.66,1
608.67,609.65,1
608.67,609.63,1
608.67,609.61,1
618.77,609.77,1
618.77,609.93,1
608.52,609.91,1
608.52,609.88,1
608.76,609.86,1
608.76,609.84,1
608.76,609.82,1
608.58,609.79,1
608.58,609.77,1
608.91,609.75,1
608.91,609.74,1
608.91,609.72,1
608.63,609.7,1
608.63,609.68,1
608.65,609.67,1
608.65,609.65,1
608.65,609.63,1
608.84,609.62,1
608.84,609.6,1
608.82,609.59,1
608.82,609.58,1
608.82,609.56,1
608.8,609.55,1
608.8,609.54,1
628.18,609.84,1
628.18,610.19,1
608.9,610.16,1
608.9,610.14,1
608.9,610.11,1
608.67,610.08,1
608.67,610.05,1
608.77,610.02,1
608.77,610,1
608.77,609.97,1
608.8,609.95,1
608.8,609.92,1
608.85,609.9,1
608.85,609.88,1
608.85,609.86,1
609.06,609.84,1
609.06,609.83,1
608.94,609.81,1
608.94,609.8,1
608.94,609.78,1
608.84,609.76,1
608.84,609.75,1
608.65,609.73,1
608.65,609.71,1
618.78,609.87,1
618.78,610.04,2
618.78,610.22,1
609.07,610.19,1
609.07,610.17,1
608.72,610.14,1
608.72,610.11,1
608.72,610.08,1
608.94,610.06,1
608.94,610.03,1
608.82,610.01,1
608.82,609.98,1
608.82,609.96,1
608.77,609.94,1
