607.59,611.00
607.59,610.91
607.59,610.82
1022,00:00:27,262,T,2.60,25.31,6.25,0.12,-0.06,0.00,1.31,-3.35,9.08,-44.56,-37.56,-54.50,0.00,IDLE
610.11,610.80
610.11,610.79
610.65,610.78
610.65,610.78
610.65,610.78
608.37,610.72
1022,00:00:28,263,T,1.68,25.41,6.25,-0.06,0.12,0.12,1.32,-3.36,9.10,-43.06,-37.25,-54.50,0.00,IDLE
608.37,610.66
609.08,610.63
609.08,610.59
614.21,610.67
614.21,610.76
614.21,610.84
1022,00:00:28,264,T,5.59,25.11,6.26,0.00,0.12,0.00,1.32,-3.34,9.10,-43.50,-38.00,-54.06,0.00,IDLE
610.77,610.84
610.77,610.84
612.97,610.89
612.97,610.93
612.97,610.98
607.64,610.90
1022,00:00:28,265,T,8.40,24.92,6.24,0.06,0.00,0.00,1.31,-3.35,9.14,-44.25,-37.25,-54.19,0.00,IDLE
607.64,610.83
610.14,610.81
610.14,610.80
610.14,610.78
611.48,610.80
611.48,610.81
607.55,610.74
1022,00:00:28,266,T,-2.28,25.68,6.25,-0.06,0.00,0.12,1.32,-3.34,9.11,-43.88,-36.88,-53.75,0.00,IDLE
607.55,610.67
607.55,610.60
612.90,610.65
612.90,610.70
609.90,610.69
609.90,610.67
1022,00:00:29,267,T,5.35,25.13,6.25,0.00,0.12,0.00,1.32,-3.34,9.10,-43.88,-38.00,-53.00,0.00,IDLE
610.10,610.66
610.10,610.65
610.10,610.63
621.33,610.85
621.33,611.09
1022,00:00:29,268,T,6.80,25.01,6.25,0.19,0.12,0.00,1.35,-3.34,9.14,-44.25,-37.56,-54.06,0.00,IDLE
607.60,611.00
607.60,610.92
607.60,610.84
625.56,611.20
625.56,611.60
607.59,611.48
607.59,611.36
1022,00:00:29,269,T,-2.08,25.67,6.24,-0.12,-0.06,0.12,1.33,-3.37,9.08,-44.56,-37.56,-54.88,0.00,IDLE
607.59,611.24
610.32,611.21
610.32,611.18
617.69,611.38
617.69,611.57
617.66,611.77
607.66,611.63
607.66,611.50
614.88,611.61
614.88,611.72
607.75,611.59
607.75,611.46
607.75,611.34
1022,00:00:30,271,T,0.33,25.49,6.25,-0.44,0.12,0.00,1.34,-3.39,9.14,-44.56,-37.25,-54.06,0.00,IDLE
609.28,611.27
609.28,611.21
618.24,611.43
618.24,611.66
618.24,611.89
607.76,611.74
1022,00:00:30,272,T,6.17,25.07,6.24,0.50,0.31,0.00,1.28,-3.33,9.12,-43.88,-37.25,-54.19,0.00,IDLE
607.76,611.60
609.70,611.53
609.70,611.47
609.70,611.41
622.12,611.77
622.12,612.15
1022,00:00:30,273,T,1.84,25.38,6.24,0.25,0.25,0.00,1.30,-3.36,9.10,-43.88,-37.56,-54.88,0.00,IDLE
607.90,611.98
607.90,611.83
613.03,611.87
613.03,611.92
613.03,611.96
607.58,611.80
607.58,611.65
624.40,612.11
624.40,612.59
624.40,613.09
610.54,612.97
610.54,612.87
1022,00:00:31,275,T,-2.20,25.66,6.25,0.25,0.12,0.00,1.34,-3.39,9.07,-43.88,-37.25,-54.19,0.00,IDLE
607.51,612.63
607.51,612.41
608.81,612.25
608.81,612.10
608.81,611.96
607.58,611.78
607.58,611.60
1022,00:00:31,276,T,3.12,25.24,6.24,0.38,0.31,-0.12,1.31,-3.37,9.12,-43.56,-38.00,-53.38,0.00,IDLE
610.80,611.57
610.80,611.53
610.80,611.51
613.23,611.57
613.23,611.63
1022,00:00:31,277,T,3.25,25.26,6.24,0.06,0.19,0.00,1.29,-3.34,9.17,-43.19,-38.00,-54.88,0.00,IDLE
607.65,611.49
607.65,611.35
608.50,611.24
608.50,611.14
608.50,611.05
607.58,610.92
607.58,610.80
610.79,610.80
610.79,610.80
607.78,610.70
607.78,610.60
607.78,610.51
607.83,610.42
1022,00:00:32,279,T,2.15,25.34,6.24,-0.25,-0.12,0.12,1.27,-3.39,9.12,-44.25,-37.56,-54.88,0.00,IDLE
607.83,610.34
608.57,610.28
608.57,610.23
608.54,610.17
612.01,610.23
1022,00:00:32,280,T,8.91,24.82,6.24,0.06,-0.19,0.25,1.26,-3.32,9.16,-43.19,-37.56,-54.50,0.00,IDLE
612.01,610.29
609.06,610.25
609.06,610.21
627.50,610.72
627.50,611.27
627.50,611.87
610.72,611.82
1022,00:00:32,281,T,6.73,24.98,6.25,-0.25,-0.38,0.06,1.28,-3.38,9.15,-43.50,-36.88,-52.88,0.00,IDLE
610.72,611.78
610.04,611.71
610.04,611.65
610.04,611.59
613.96,611.67
613.96,611.76
610.68,611.72
1022,00:00:32,282,T,1.80,25.34,6.25,-0.44,-0.06,0.00,1.32,-3.35,9.11,-42.75,-37.56,-53.75,0.00,IDLE
610.68,611.68
610.68,611.65
610.53,611.61
610.53,611.58
612.62,611.61
